,Tm,Lg,Fld%,Rdrs,Season,RAA,WAA,RAR,WAR,Salary,Acquired,BA,OBP,SLG,OPS,OPS+,Bat,Pos_C,Pos_1B,Pos_2B,Pos_3B,Pos_SS,Pos_OF,Num_Pos,R/AB,2B/AB,3B/AB,HR/AB,RBI/AB,BB/PA,SB - CS,BB - SO,E/Def-Inn,DP/Def-Inn,cluster
56,SDP,NL,0.969,4,2010,-6,-0.7,2,0.1,418800.0,Rule 5 Draft,0.208,0.279,0.278,0.557,58.0,S,0,0,1,0,1,0,2,0.10377358490566038,0.02830188679245283,0.014150943396226415,0.0047169811320754715,0.10377358490566038,0.07883817427385892,4,-35,0.014,0.066,2
57,ATL,NL,0.982,-6,2010,-16,-1.8,-1,-0.3,3100000.0,Traded,0.255,0.317,0.354,0.671,83.0,S,0,0,0,0,0,1,1,0.1091703056768559,0.05895196506550218,0.006550218340611353,0.008733624454148471,0.09170305676855896,0.0825147347740668,6,-22,0.0037593984962406013,0.0018796992481203006,2
58,DET,AL,0.99,-5,2010,40,4.2,63,6.5,20000000.0,Traded,0.328,0.42,0.622,1.042,178.0,R,0,1,0,0,0,0,1,0.20255474452554745,0.08211678832116788,0.0018248175182481751,0.06934306569343066,0.22992700729927007,0.13734567901234568,0,-6,0.01011594428449148,0.1034938915259513,1
59,CIN,NL,0.977,0,2010,-8,-0.9,9,0.7,2020000.0,Free Agency,0.263,0.303,0.354,0.657,76.0,R,0,0,0,0,1,0,1,0.12955465587044535,0.06680161943319839,0.0,0.008097165991902834,0.08502024291497975,0.0521415270018622,7,-25,0.0106775383420695,0.05824111822947,2
60,CIN,NL,0.981,-3,2010,0,0.0,7,0.7,500000.0,Free Agency,0.29,0.353,0.41,0.763,104.0,R,0,1,1,1,1,1,5,0.15,0.06,0.0,0.02,0.14,0.0752212389380531,4,-13,0.007995735607675906,0.05063965884861407,3
61,MULTIPLE,AL,0.971,2,2010,-7,-0.6,16,1.6,460000.0,Traded,0.265,0.302,0.374,0.675,85.0,S,0,0,1,1,0,1,3,0.10854092526690391,0.04804270462633452,0.0035587188612099642,0.017793594306049824,0.099644128113879,0.051580698835274545,2,-11,0.00889967637540453,0.02750809061488673,2
62,BOS,AL,0.983,-12,2010,-6,-0.6,1,0.1,7750000.0,Free Agency,0.259,0.328,0.401,0.729,94.0,R,0,0,0,0,0,1,1,0.14814814814814814,0.06790123456790123,0.0,0.024691358024691357,0.09259259259259259,0.07777777777777778,-1,-30,0.00510204081632653,0.002551020408163265,2
63,NYY,AL,0.996,16,2010,53,5.7,79,8.1,9000000.0,Amateur Free Agent,0.319,0.381,0.534,0.914,141.0,L,0,0,1,0,0,0,1,0.1645367412140575,0.06549520766773163,0.004792332268370607,0.0463258785942492,0.17412140575079874,0.08189655172413793,1,-20,0.002153470676907616,0.08183188572248942,1
64,MULTIPLE,MLB,0.966,-14,2010,-29,-3.2,-13,-1.5,6000000.0,Free Agency,0.256,0.304,0.392,0.695,84.0,R,0,1,1,1,0,0,3,0.1059322033898305,0.0614406779661017,0.00211864406779661,0.023305084745762712,0.11864406779661017,0.05631067961165048,0,-66,0.01625851031399248,0.04674321715272838,2
65,FLA,NL,0.972,3,2010,-2,-0.2,1,0.0,403500.0,Amateur Draft,0.197,0.311,0.329,0.64,71.0,R,0,0,0,0,0,1,1,0.17105263157894737,0.05263157894736842,0.0,0.02631578947368421,0.09210526315789473,0.06666666666666667,1,-23,0.0053705692803437165,0.0,2
66,LAD,NL,0.986,1,2010,13,1.3,26,2.5,1535677.0,Free Agency,0.291,0.379,0.339,0.718,100.0,R,0,0,1,1,1,1,4,0.13675213675213677,0.042735042735042736,0.002849002849002849,0.0,0.06552706552706553,0.12318840579710146,8,-13,0.006643782526851954,0.04982836895138966,3
67,MIN,AL,0.974,2,2010,4,0.4,10,1.1,437500.0,Traded,0.276,0.331,0.395,0.726,100.0,S,0,0,1,1,1,1,4,0.17105263157894737,0.046052631578947366,0.02631578947368421,0.006578947368421052,0.13157894736842105,0.07647058823529412,5,-4,0.013509862199405566,0.07025128343690894,2
68,NYM,NL,0.993,1,2010,-5,-0.6,5,0.3,6250000.0,Traded,0.235,0.337,0.267,0.604,68.0,S,0,0,1,0,0,0,1,0.11336032388663968,0.016194331983805668,0.008097165991902834,0.0,0.06882591093117409,0.13043478260869565,5,14,0.0034710170079833387,0.06594932315168343,2
69,MULTIPLE,NL,0.961,-8,2010,-22,-2.3,-17,-1.9,700000.0,Free Agency,0.194,0.237,0.233,0.47,27.0,R,0,0,1,1,1,0,3,0.05426356589147287,0.03875968992248062,0.0,0.0,0.10077519379844961,0.05714285714285714,-1,-17,0.018072289156626505,0.06626506024096386,0
70,CHW,AL,0.996,-2,2010,2,0.2,7,0.7,800000.0,Free Agency,0.278,0.328,0.504,0.832,121.0,R,1,0,0,0,0,0,1,0.1565217391304348,0.017391304347826087,0.0,0.06956521739130435,0.1826086956521739,0.0703125,1,-17,0.0035842293906810036,0.0,3
71,PIT,NL,0.969,-9,2010,-9,-1.0,7,0.5,1125000.0,Traded,0.256,0.293,0.382,0.675,82.0,R,0,0,0,0,1,0,1,0.08974358974358974,0.06196581196581197,0.00641025641025641,0.017094017094017096,0.0811965811965812,0.045816733067729085,9,-83,0.015665796344647518,0.05918189730200174,2
72,NYY,AL,0.98,-3,2010,-3,-0.3,9,0.9,410800.0,Amateur Free Agent,0.271,0.359,0.335,0.694,87.0,R,1,0,0,1,0,0,2,0.10150375939849623,0.041353383458646614,0.011278195488721804,0.0,0.14285714285714285,0.10410094637223975,0,-9,0.017881705639614855,0.002751031636863824,2
73,OAK,AL,1.0,0,2010,-7,-0.7,-2,-0.2,12500000.0,Amateur Draft,0.234,0.276,0.333,0.61,67.0,L,0,1,0,0,0,0,1,0.09009009009009009,0.07207207207207207,0.0,0.009009009009009009,0.09009009009009009,0.06504065040650407,0,-23,0.0,0.0,2
74,CLE,AL,0.986,10,2010,35,3.7,57,5.9,461100.0,Traded,0.3,0.401,0.484,0.885,147.0,L,0,0,0,0,0,1,1,0.14727272727272728,0.056363636363636366,0.0036363636363636364,0.04,0.16363636363636364,0.12848297213622292,15,-35,0.003202049311559398,0.0024015369836695483,1
75,MULTIPLE,NL,1.0,7,2010,-8,-0.9,-1,-0.2,1500000.0,Traded,0.201,0.265,0.352,0.616,65.0,L,0,0,0,0,0,1,1,0.1141552511415525,0.0730593607305936,0.0045662100456621,0.0228310502283105,0.1141552511415525,0.06722689075630252,1,-49,0.0,0.0026301946344029457,2
76,PIT,NL,0.994,0,2010,-11,-1.2,-6,-0.7,405000.0,Traded,0.201,0.237,0.368,0.605,62.0,L,0,1,0,0,0,0,1,0.0763888888888889,0.020833333333333332,0.0,0.04861111111111111,0.08333333333333333,0.03896103896103896,0,-31,0.006823609689525759,0.06823609689525759,2
77,FLA,NL,0.994,4,2010,0,-0.1,12,1.1,475000.0,Amateur Draft,0.268,0.335,0.383,0.718,91.0,L,0,0,0,0,0,1,1,0.16759776536312848,0.055865921787709494,0.008379888268156424,0.013966480446927373,0.0782122905027933,0.0825,7,-51,0.0012987012987012987,0.0,3
